W3.ID,City/Region (S6.1),State/Province,State/Country (S6.2),Year (S8.2),Country Population,Population Million,Climate Pattern,Precipitation ,Temperature C ,Area (km2),Pop. Density,Household Size ,Urbanization (%),Expense (% of GDP),Unemployment (%),Age (15-64) %,Age (65+) %,Per Capita Energy Demand ,Energy Demand  (Million kWh) ,Country GDP/Capita 2015 $ ,Service,Service GDP%,Education Index (HDI) ,Sustainability Index,Waste Regulations 
39,Moscow,,Russia,2011, 142.96 ,11.461,Dfb,f,Db," 2,551 ",4492.7,2.58,100.00,50.38,6.54,71.73,13.10," 6,724 "," 961,241 "," 11,125 ",53.8,61.4,0.78,73.75,Yes
40,Cairo,,Egypt,2012, 86.42 ,9.000,BWh,BW,h, 453 ,19867.5,4.13,100.00,80.71,12.60,62.37,4.92," 1,838 "," 158,826 "," 3,472 ",51.8,48.5,0.57,68.65,Yes
41,Mexico City,,Mexico,2015, 121.86 ,8.851,Cwb,w,Cb," 1,485 ",5960.3,3.74,100.00,65.41,4.31,65.64,6.72," 2,438 "," 297,107 "," 9,617 ",61.0,64.8,0.67,69.13,Yes
42,São Paulo,,Brazil,2014, 202.76 ,11.896,Cfa,f,Ca," 1,520 ",7826.2,3.31,100.00,62.96,6.66,69.39,7.74," 3,036 "," 615,629 "," 9,215 ",61.3,72.5,0.67,71.34,Yes
43,Riyadh,,Saudi Arabia,2015, 31.72 ,6.370,BWh,BW,h," 1,973 ",3228.6,5.60,100.00,40.30,5.59,71.16,3.02," 10,414 "," 330,310 "," 20,628 ",51.9,52.0,0.80,66.30,Yes
44,Bangkok,,Thailand,2015, 68.71 ,9.270,Aw,w,A," 1,569 ",5909.4,3.69,100.00,51.34,0.60,71.42,10.60," 2,697 "," 185,324 "," 5,840 ",54.9,54.9,0.64,74.19,Yes
45,London,,United Kingdom,2012, 63.70 ,8.174,Cfb,f,Cb," 1,583 ",5163.6,2.31,100.00,64.57,7.88,65.34,17.11," 5,554 "," 353,775 "," 42,790 ",70.3,78.2,0.87,79.97,Yes
46,Rio de Janeiro,,Brazil,2014, 202.76 ,6.454,Aw,w,A," 1,182 ",5458.6,3.31,100.00,62.96,6.66,69.39,7.74," 3,036 "," 615,629 "," 9,215 ",61.3,72.5,0.67,71.34,Yes
47,Seoul,,Korea,2012, 50.20 ,10.204,Cwa,w,Ca, 579 ,17623.5,2.53,100.00,51.27,2.81,73.35,11.53," 10,151 "," 509,557 "," 26,675 ",55.1,60.1,0.87,78.59,Yes
48,Baghdad,,Iraq,2015, 35.57 ,7.000,BWh,BW,h, 673 ,10401.2,7.70,100.00,55.68,10.73,57.59,3.10," 2,273 "," 80,872 "," 4,688 ",51.2,50.9,0.51,63.82,Yes
49,Santiago,,Chile,2013, 17.57 ,7.008,BSk,BS,k, 641 ,10932.3,3.58,100.00,62.65,6.21,68.88,10.02," 3,969 "," 69,744 "," 13,333 ",56.9,63.4,0.76,77.13,Yes
50,Delhi,,India,2014," 1,295.60 ",11.035,BSh,BS,h," 1,484 ",7435.7,4.57,100.00,58.13,5.44,65.60,5.48, 941 ," 1,218,581 "," 1,503 ",47.8,52.3,0.53,60.07,Yes
51,Tehran,,Iran,2014, 77.47 ,8.432,BSk,BS,k, 615 ,13710.6,3.50,100.00,46.32,10.68,70.61,5.64," 3,354 "," 259,832 "," 5,036 ",49.9,56.3,0.74,70.01,Yes
52,Karachi,,Pakistan,2016, 203.63 ,14.910,BWh,BW,h," 3,780 ",3944.5,6.80,100.00,80.02,3.78,59.99,4.32, 548 ," 111,655 "," 1,402 ",52.8,54.9,0.38,57.72,Yes
53,Dubai,,United Arab Emirates,2011, 8.95 ,2.415,BWh,BW,h," 3,885 ",621.6,4.20,100.00,38.40,2.30,85.83,0.74," 10,677 "," 95,521 "," 33,271 ",41.3,46.7,0.68,70.17,Yes
54,Madrid,,Spain,2014, 46.48 ,3.165,Csb,s,Cb, 604 ,5237.9,2.62,100.00,59.36,24.44,66.78,18.32," 5,589 "," 259,772 "," 24,762 ",68.4,74.9,0.82,79.46,Yes
55,Kinshasa,,Congo,2016, 78.79 ,11.587,Aw,w,A, 600 ,19311.7,4.31,100.00,78.49,4.48,50.63,3.02, 33 ," 2,622 ", 493 ,33.8,43.7,0.54,52.95,Yes
56,Buenos Aires,,Argentina,2013, 42.20 ,2.982,Cfa,f,Ca, 203 ,14688.6,3.26,100.00,65.99,7.10,63.98,10.51," 3,393 "," 143,211 "," 14,072 ",53.9,66.3,0.82,72.80,Yes
57,Ho Chi Minh City,,Vietnam,2014, 91.71 ,7.982,Aw,w,A," 2,061 ",3872.8,3.78,100.00,65.81,1.26,70.43,6.55," 1,480 "," 135,724 "," 1,975 ",39.0,44.2,0.61,72.85,Yes
58,Mumbai,,India,2016," 1,324.52 ",12.478,Am,m,A," 4,355 ",2865.3,4.57,100.00,59.30,5.42,66.27,5.79," 1,008 "," 1,335,334 "," 1,719 ",47.7,52.3,0.54,60.07,Yes
59,Lahore,,Pakistan,2017, 207.91 ,11.126,BSh,BS,h," 1,772 ",6278.9,6.80,100.00,81.91,3.92,60.21,4.31, 578 ," 120,173 "," 1,450 ",53.2,56.3,0.39,57.72,Yes
60,Hanoi,,Vietnam,2014, 91.71 ,3.629,Cwa,w,Ca, 320 ,11356.2,3.78,100.00,65.81,1.26,70.43,6.55," 1,480 "," 135,724 "," 1,975 ",39.0,44.2,0.61,72.85,Yes
61,Saint Petersburg,,Russia,2013, 143.51 ,4.993,Dfb,f,Db, 606 ,8242.0,2.58,100.00,53.17,5.46,70.78,13.22," 6,820 "," 978,734 "," 11,731 ",56.1,62.4,0.79,73.75,Yes
